X.Session,ID,Occasion,Camera_ID
2,M16 Half moon,1,SLT160_Tost
2,M16 Half moon,1,SLT160_Tost
2,M15 The Dude,1,SLT180_Tost
2,F11,1,SLT180_Tost
2,M15 The Dude,1,SLT180_Tost
2,F11,1,SLT180_Tost
2,M15 The Dude,1,SLT181_Tost
2,M15 The Dude,1,SLT181_Tost
2,F11,1,SLT181_Tost
2,New Male 2019,1,SLT182_Tost
2,M11 Tsetsen,1,SLT182_Tost
2,New Male 2019,1,SLT182_Tost
2,M11 Tsetsen,1,SLT182_Tost
2,M11 Tsetsen,1,SLT182_Tost
2,Antoine,1,SLT182_Tost
2,Antoine,1,SLT182_Tost
2,F12 Willian,1,SLT184_Tost
2,F12 Willian,1,SLT184_Tost
2,M14 Djingis,1,SLT186_Tost
2,M14 Djingis,1,SLT186_Tost
2,F14 One Eye,1,SLT186_Tost
2,Sym 2019,1,SLT186_Tost
2,Guerreiro,1,SLT186_Tost
2,M14 Djingis,1,SLT186_Tost
2,New Mom and subadult,1,SLT186_Tost
2,F14 One Eye,1,SLT186_Tost
2,M15 The Dude,1,SLT187_Tost
2,M15 The Dude,1,SLT187_Tost
2,F10 Khuurhun Ach,1,SLT188_Tost
2,F10 Khuurhun Ach,1,SLT188_Tost
2,New Male 2019,1,SLT188_Tost
2,M15 The Dude,1,SLT188_Tost
2,M15 The Dude,1,SLT188_Tost
2,M15 The Dude,1,SLT188_Tost
2,F10 Khuurhun Ach,1,SLT188_Tost
2,M15 The Dude,1,SLT188_Tost
2,M11 Tsetsen,1,SLT188_Tost
2,M15 The Dude,1,SLT188_Tost
2,M11 Tsetsen,1,SLT188_Tost
2,M15 The Dude,1,SLT188_Tost
2,F14 One Eye,1,SLT189_Tost
2,M14 Djingis,1,SLT189_Tost
2,M14 Djingis,1,SLT189_Tost
2,F14 One Eye,1,SLT189_Tost
2,M15 The Dude,1,SLT189_Tost
2,F14 One Eye,1,SLT189_Tost
2,M14 Djingis,1,SLT190_Tost
2,F14 One Eye,1,SLT190_Tost
2,M18 ,1,SLT190_Tost
2,M14 Djingis,1,SLT190_Tost
2,M18 ,1,SLT190_Tost
2,M14 Djingis,1,SLT190_Tost
2,M14 Djingis,1,SLT190_Tost
2,F14 One Eye,1,SLT190_Tost
